Unnamed: 0,text
7,"It will take time for talks with #Russia to end in #Ukraine's interests - #Zelensky
#RussiaUkraineWar #UkraineRussiaWar #vannewsagency https://t.co/NsZeyXp78M https://t.co/y7WBuWqxRF"
55,"Biden announces fresh aid to war-torn #Ukraine but stops short of #Zelenskyy requests. 
https://t.co/2hMSjD4nMl"
67,"Ukrainian president Zelenskyy reveals compromise he wonÃ¢t make
#Zelenskyy #UkraineÃ¯Â¸ #Russia #UkraineRussiaWar 
https://t.co/JYkywnYae5"
103,#Zelensky Announces Ban on 11 Political Parties #Ukraine  https://t.co/RFDeNYiXKf
164,Give #Zelensky what he needs to win!!! The World must Help #Ukraine Win this hideous war!!! #StandWithUkraine Ã°ÂºÃ°Â¦Ã°ÂºÃ°Â¦Ã°ÂºÃ°Â¦ @POTUS #NATO https://t.co/ha2J8toEqN
259,The #Russian Aggression on #Ukraine The Ukrainian people walking on the streets are chanting: The Russians are fascists. News of the Russians firing at the demonstrators and wounding many of them  in #UkraineWar #RussiaUkraineWar #Kherson #Zelensky #StandWithUkraine #StopRussia https://t.co/4s91nA1YBy
293,"Glory to Ukraine 
#UkraineUnderAttack #UkraineRussiaWar #PutinHitler #PutinWarCrimes #PutinsPuppet #Putin #Zelensky #Zelenski #ZelenskyyIsAHero #IStandWithUkraineï¸ #IStandWithUkriane #GloryToUkraine #UkraineResist https://t.co/ThpGfCKq1S"
314,"NEW
#UnitedNations issues updated numbers re: #Russia's invasion of #Ukraine:
â€¢ 636 civilians killed, as of 24:00 EEST on March 13
â€¢ 1,125 civilians injured, as of 24:00 EEST on March 13
â€¢ 2.8 million people have become #refugees as of 12:00 CET on March 13

#Putin #Zelensky https://t.co/odp8MtEcyu"
342,"We can only hopeğŸ˜‚

#Zelensky #UkraineWar #Ukraine https://t.co/3ru6RYYjXJ"
370,"â¡ A wall painting depicting #Ukraine's head of state Volodymyr #Zelensky as Harry Potter adorns the western #Polish city of #PoznaÅ„.

https://t.co/mPLoifIMuR"
407,"BIDEN IS A BADASS
#thankyouBiden #Biden #BidenHarris #BidenStrong #BidenAdministration #IStandWithZelensky #UkraineRussiaWar #Ukraine #UkraineInvasion #NATOStrong #NATOAllies #Nato https://t.co/JuzUOnhhrc"
410,Amazing Leader. Ã¢ÃƒÂ¹Ã‚Â§ÃƒÃ¢ÃƒÂ¨ #Zelensky #Ukraine #UkraineRussiaWar #Ukrania #UkraineWar https://t.co/BWlACi3acb
412,"What a beautiful sight of courage and honor!
#Zelensky #Ukraine 
#IStandWithUkraine Ã¯Â£Â¿ÃƒÂ¼ÃƒÂ¡Ã¢Â«Ã¯Â£Â¿ÃƒÂ¼ÃƒÂ¡Ã‚Â¶ https://t.co/XJGYDvvTRK"
432,"Putin remained Putin, but ended up making this man a legend..

#UkraineRussiaWar #Ukraine #Zelenskyy #Putin https://t.co/ahQztaLnt9"
443,"Is #VolodymyrZelenskyy a white? A ""brick""? A Nazi?

#Ukraine #Russia #CriticalRaceTheory https://t.co/1fwOY7L6PP"
458,"I STAND WITH UKRAINE Ã¯Â£Â¿ÃƒÂ¼ÃƒÂ¡Ã¢Â«Ã¯Â£Â¿ÃƒÂ¼ÃƒÂ¡Ã‚Â¶Ã¯Â£Â¿ÃƒÂ¼ÃƒÂ­ÃƒÂµÃ¯Â£Â¿ÃƒÂ¼ÃƒÂ­ÃƒÂ´

#ukraine #UkraineRussiaWar #UkraineWillResist #UkraineKrieg  #UkraineRussia #UkrainianArmy #UkrainiansWillResist
 #ukrainewar #russia #kyiv #war #UkraineRussiacrisis #ukraineinvasion #putin #Kherson #Zelensky #President #Zelenskyy @ZelenskyyUa https://t.co/lUG9fGqWHx"
498,"As a small support to #Ukraine, you can make the innocent people smile there. Be the sun with us for the children whose light has gone out.
#Zelensky #UkraineRussiaWar #StopWar #WWIII #BalochCultureDay #IStandWithPutin https://t.co/YJcXwU7jvp"
581,"Btw #Zelensky has always treated people this way - with respect, smile, goodwill, never putting himself above others.
The man brought a chair himself, sat down a couple of meters from the crowd of journalists and was honest in every word. Proud! #Ukraine 

https://t.co/UfngZ2h0Xx"
